location,week,weekDateRange,blastersReturned,vestsReturned,batteriesReturned,players
"ME Austin, TX",1,"6/8-6/14",8,3,10.8,1511
"ME Austin, TX",2,"6/15-6/21",0,5,0,1436
"ME Austin, TX",3,"6/22-6/28",0,1,0,1151
"ME Austin, TX",4,"6/29-7/5",0,3,0,1901
"ME Austin, TX",5,"7/6-7/12",3,4,4,1441
"ME Austin, TX",6,"7/13-7/20",10,4,13.4,1731
"ME Austin, TX",7,"7/21-7/27",0,1,0,1497
"ME Austin, TX",8,"7/27-8/2",1,0,1.3,1539
"ME Austin, TX",9,"8/3-8/9",2,6,2.7,1609
"ME Austin, TX",10,"8/10-8/16",6,2,8.1,1409
"ME Austin, TX",11,"8/17-8/23",3,1,4,1197
"ME Austin, TX",12,"8/24-8/30",0,3,0,964
"ME Austin, TX",13,"8/31-9/6",3,3,4,1090
"ME Austin, TX",14,"9/7-9/13",22,7,29.6,932
"ME Montclair, CA",1,"6/8-6/14",7,5,15.4,1504
"ME Montclair, CA",2,"6/15-6/21",9,3,19.8,2113
"ME Montclair, CA",3,"6/22-6/28",0,0,0,1508
"ME Montclair, CA",4,"6/29-7/5",0,0,0,1295
"ME Montclair, CA",5,"7/6-7/12",5,5,11,1348
"ME Montclair, CA",6,"7/13-7/20",9,5,19.8,1112
"ME Montclair, CA",7,"7/21-7/27",0,0,0,1235
"ME Montclair, CA",8,"7/27-8/2",7,8,15.4,1279
"ME Montclair, CA",9,"8/3-8/9",3,5,6.6,1578
"ME Montclair, CA",10,"8/10-8/16",7,0,15.4,925
"ME Montclair, CA",11,"8/17-8/23",10,0,22.1,1151
"ME Montclair, CA",12,"8/24-8/30",0,2,0,909
"ME Montclair, CA",13,"8/31-9/6",5,5,11,1162
"ME Montclair, CA",14,"9/7-9/13",10,4,22.1,1008
"ME Katy, TX",1,"6/8-6/14",15,17,54.5,1809
"ME Katy, TX",2,"6/15-6/21",9,4,32.7,1731
"ME Katy, TX",3,"6/22-6/28",20,4,72.7,1718
"ME Katy, TX",4,"6/29-7/5",3,7,10.9,1303
"ME Katy, TX",5,"7/6-7/12",4,1,14.5,1555
"ME Katy, TX",6,"7/13-7/20",1,3,3.6,1761
"ME Katy, TX",7,"7/21-7/27",17,15,61.8,1680
"ME Katy, TX",8,"7/27-8/2",8,6,29.1,1585
"ME Katy, TX",9,"8/3-8/9",5,4,18.2,1740
"ME Katy, TX",10,"8/10-8/16",13,6,47.3,1287
"ME Katy, TX",11,"8/17-8/23",8,5,29.1,937
"ME Katy, TX",12,"8/24-8/30",11,6,40,1279
"ME Katy, TX",13,"8/31-9/6",5,3,18.2,1262
"ME Katy, TX",14,"9/7-9/13",13,12,47.3,1212
"ME San Antonio West, TX",1,"6/8-6/14",19,0,74.4,2107
"ME San Antonio West, TX",2,"6/15-6/21",0,0,0,2421
"ME San Antonio West, TX",3,"6/22-6/28",10,0,39.2,2062
"ME San Antonio West, TX",4,"6/29-7/5",29,28,113.6,2668
"ME San Antonio West, TX",5,"7/6-7/12",4,0,15.7,2318
"ME San Antonio West, TX",6,"7/13-7/20",10,0,39.2,1906
"ME San Antonio West, TX",7,"7/21-7/27",2,0,7.8,2413
"ME San Antonio West, TX",8,"7/27-8/2",0,2,0,2200
"ME San Antonio West, TX",9,"8/3-8/9",3,5,11.8,2148
"ME San Antonio West, TX",10,"8/10-8/16",12,11,47,1504
"ME San Antonio West, TX",11,"8/17-8/23",3,0,11.8,1545
"ME San Antonio West, TX",12,"8/24-8/30",0,20,0,1570
"ME San Antonio West, TX",13,"8/31-9/6",13,0,50.9,1731
"ME San Antonio West, TX",14,"9/7-9/13",3,0,11.8,1355
"ME Orlando, FL",1,"6/8-6/14",0,0,0,722
"ME Orlando, FL",2,"6/15-6/21",0,0,0,978
"ME Orlando, FL",3,"6/22-6/28",11,5,35.5,1034
"ME Orlando, FL",4,"6/29-7/5",11,0,35.5,908
"ME Orlando, FL",5,"7/6-7/12",0,0,0,710
"ME Orlando, FL",6,"7/13-7/20",3,3,9.7,853
"ME Orlando, FL",7,"7/21-7/27",6,0,19.4,823
"ME Orlando, FL",8,"7/27-8/2",0,0,0,740
"ME Orlando, FL",9,"8/3-8/9",3,1,9.7,851
"ME Orlando, FL",10,"8/10-8/16",2,0,6.5,701
"ME Orlando, FL",11,"8/17-8/23",0,0,0,503
"ME Orlando, FL",12,"8/24-8/30",2,5,6.5,650
"ME Orlando, FL",13,"8/31-9/6",1,2,3.2,326
"ME Orlando, FL",14,"9/7-9/13",7,5,22.6,429
"ME Frisco, TX",1,"6/8-6/14",2,1,2,1091
"ME Frisco, TX",2,"6/15-6/21",5,1,5,1451
"ME Frisco, TX",3,"6/22-6/28",0,2,0,1161
"ME Frisco, TX",4,"6/29-7/5",3,3,3,1247
"ME Frisco, TX",5,"7/6-7/12",2,2,2,1119
"ME Frisco, TX",6,"7/13-7/20",3,2,3,1192
"ME Frisco, TX",7,"7/21-7/27",9,0,9.1,1266
"ME Frisco, TX",8,"7/27-8/2",2,2,2,1436
"ME Frisco, TX",9,"8/3-8/9",6,0,6.1,1235
"ME Frisco, TX",10,"8/10-8/16",6,3,6.1,1263
"ME Frisco, TX",11,"8/17-8/23",5,0,5,892
"ME Frisco, TX",12,"8/24-8/30",0,1,0,888
"ME Frisco, TX",13,"8/31-9/6",2,0,2,1220
"ME Frisco, TX",14,"9/7-9/13",10,1,10.1,1034
"ME Hoffman, IL",1,"6/8-6/14",8,8,28.5,1648
"ME Hoffman, IL",2,"6/15-6/21",5,2,17.8,2024
"ME Hoffman, IL",3,"6/22-6/28",5,4,17.8,2020
"ME Hoffman, IL",4,"6/29-7/5",8,9,28.5,1577
"ME Hoffman, IL",5,"7/6-7/12",3,2,10.7,2032
"ME Hoffman, IL",6,"7/13-7/20",2,5,7.1,2491
